"","AIRPORT","LATITUDE","LONGITUDE","PASSENGERS"
"257","GGG",32.38527778,-94.713333335,21796
"258","GGW",48.21263889,-106.61513889,1594
"259","GJT",39.120555555,-108.52027778,219335
"260","GLH",33.483111112,-90.985444448,6469
"261","GNV",29.68986111,-82.27375,159476
"262","GON",41.329444445,-72.045833335,35
"263","GPT",30.406666665,-89.07013889,441538
"264","GRB",44.485388888,-88.129888888,349231
"265","GRI",40.96736111,-98.308194445,37100
"266","GRK",31.06597222,-97.828194445,214864
"267","GRR",42.8810185166667,-85.5237037066667,1084636
"268","GSB",35.33958333,-77.96027778,80
"269","GSO",36.096666665,-79.941944445,854757
"270","GSP",34.89777778,-82.2155555566667,641786
"271","GTF",47.483111112,-111.369722224,154633
"272","GTR",33.449305555,-88.59138889,36326
"273","GTU",30.67888889,-97.67944444,1
"274","GUC",38.53411111,-106.93366667,37285
"275","GUF",30.29013889,-87.67166667,63
"276","GUS",40.64805556,-86.15222222,41
"277","GYR",33.4235763875,-112.37479166625,3
"278","GYY",41.617055556,-87.414,1104
"279","HAO",39.364,-84.522499996,1
"280","HBV",27.34944444,-98.73694444,1
"281","HDN",40.48138889,-107.21888889,109985
"282","HFD",41.735,-72.64972222,4
"283","HGR",39.708194445,-77.728194445,10651
"284","HHH",32.220555555,-80.690416665,73738
"285","HIB",47.3879629633333,-92.8387037033333,11089
"286","HIF",41.12375,-111.9725,165
"287","HIO",45.5411574083333,-122.950185185,5
"288","HKY",35.740833335,-81.38972222,297
"289","HLN",46.606777778,-111.982833332,97753
"290","HMN",32.85211111,-106.106555558,101
"291","HOB",32.687722222,-103.217055552,333
"292","HON",44.384444445,-98.2275,1997
"293","HOP",36.670694445,-87.49388889,428
"294","HOT",34.478472225,-93.09611111,780
"295","HOU",29.64527778,-95.27875,4356905
"296","HPN",41.067916665,-73.70763889,994997
"297","HRL",26.227944444,-97.654333332,364342
"298","HRO",36.26152778,-93.15513889,1775
"299","HSH",35.97277778,-115.13444444,5
"300","HST",25.4882407433333,-80.3839814833333,36
"301","HSV",34.64,-86.77527778,605566
"302","HTO",40.95944444,-72.2518518533333,56
"303","HTS",38.367611108,-82.558777778,115207
"304","HUF",39.4527083325,-87.30736111,486
"305","HVN",41.264583335,-72.887638885,35781
