"FROM","TO"
"Koudum-Molkwerum","Stavoren"
"Grou-Jirnsum","Leeuwarden"
"Akkrum","Grou-Jirnsum"
"Akkrum","Heerenveen"
"Heerenveen","Heerenveen IJsstadion"
"Heerenveen IJsstadion","Wolvega"
"Steenwijk","Wolvega"
"Meppel","Steenwijk"
"Leiden Centraal","Sassenheim"
"Nieuw Vennep","Sassenheim"
"Hoofddorp","Nieuw Vennep"
"Hoofddorp","Schiphol Airport"
"Leiden Centraal","Leiden Lammenschans"
"Alphen a/d Rijn","Leiden Lammenschans"
"Alphen a/d Rijn","Bodegraven"
"Bodegraven","Woerden"
"Dronten","Lelystad Centrum"
"Dronten","Kampen Zuid"
"Kampen Zuid","Zwolle"
"Eijsden","Maastricht Randwyck"
"Maastricht","Maastricht Randwyck"
"Bunde","Maastricht"
"Beek-Elsloo","Bunde"
"Beek-Elsloo","Geleen-Lutterade"
"Geleen-Lutterade","Sittard"
"Nijmegen","Nijmegen Heyendaal"
"Mook Molenhoek","Nijmegen Heyendaal"
"Cuijk","Mook Molenhoek"
"Boxmeer","Cuijk"
"Boxmeer","Vierlingsbeek"
"Venray","Vierlingsbeek"
"Blerick","Venray"
"Rhenen","Veenendaal Centrum"
"Veenendaal Centrum","Veenendaal West"
"Maarn","Veenendaal West"
"Echt","Roermond"
"Echt","Susteren"
"Sittard","Susteren"
"Roermond","Swalmen"
"Reuver","Swalmen"
"Reuver","Tegelen"
"Tegelen","Venlo"
"Bergen op Zoom","Roosendaal"
"Bergen op Zoom","Rilland-Bath"
"Krabbendijke","Rilland-Bath"
"Krabbendijke","Kruiningen-Yerseke"
"Kapelle-Biezelinge","Kruiningen-Yerseke"
"Goes","Kapelle-Biezelinge"
"Arnemuiden","Goes"
"Arnemuiden","Middelburg"
"Middelburg","Vlissingen Souburg"
"Vlissingen","Vlissingen Souburg"
"Rotterdam Centraal","Schiphol Airport"
"Rotterdam Centraal","Rotterdam Noord"
"Rotterdam Alexander","Rotterdam Noord"
"Capelle Schollevaar","Rotterdam Alexander"
"Capelle Schollevaar","Nieuwerkerk a/d IJssel"
"Gouda","Nieuwerkerk a/d IJssel"
"Amsterdam Bijlmer ArenA","Amsterdam RAI"
"Tiel","Tiel Passewaaij"
"Geldermalsen","Tiel Passewaaij"
"Utrecht Centraal","Utrecht Maliebaan"
"Winterswijk","Winterswijk West"
"Lichtenvoorde-Groenlo","Winterswijk West"
"Lichtenvoorde-Groenlo","Ruurlo"
"Ruurlo","Vorden"
"Vorden","Zutphen"
