"FROM","TO"
295,28
295,355
295,581
295,683
295,694
296,62
296,69
296,469
296,666
296,794
297,108
297,563
297,588
297,784
298,91
298,236
298,245
298,462
298,467
298,697
299,315
299,399
299,649
299,794
300,88
300,151
300,158
300,291
300,357
300,406
300,463
300,552
300,584
300,700
300,752
301,93
301,330
301,430
301,592
301,750
302,4
302,111
302,130
302,391
302,426
302,689
302,740
303,60
303,78
303,128
303,144
303,332
303,423
303,429
303,590
303,661
303,675
303,759
304,20
304,64
304,81
304,273
304,559
304,816
305,509
305,618
305,635
305,736
306,74
306,449
306,615
306,766
307,40
307,269
307,611
307,625
308,117
308,405
308,561
308,571
308,720
308,764
309,217
309,234
309,333
309,518
309,768
310,15
310,785
310,796
311,39
311,100
311,102
311,150
311,811
312,49
312,82
312,101
312,498
312,512
312,543
313,36
313,393
313,515
313,604
313,614
314,119
314,159
314,211
314,220
314,475
314,585
314,674
314,713
315,299
315,399
315,649
315,794
316,250
316,387
316,719
316,740
316,826
316,828
317,253
317,397
317,507
317,746
318,516
318,523
318,530
318,704
318,763
319,36
319,197
319,499
320,252
320,658
320,712
320,753
321,72
321,108
321,359
321,671
321,835
322,51
322,534
323,370
323,398
323,790
323,837
324,145
324,499
324,688
324,767
325,122
325,577
325,581
325,686
326,56
326,76
326,89
326,344
326,612
326,726
326,801
326,813
326,836
327,164
327,258
327,267
327,416
327,691
327,703
328,446
328,781
328,822
329,282
329,551
329,716
329,730
330,93
330,121
330,124
330,152
330,157
330,301
330,356
330,430
330,444
330,448
330,570
330,592
330,750
330,778
330,794
331,15
331,180
331,197
331,206
331,380
331,459
331,528
331,830
331,831
331,832
331,853
332,60
332,303
332,429
332,590
332,661
333,217
333,234
333,309
333,518
333,768
334,121
334,194
334,198
334,521
334,575
334,602
334,620
334,640
334,823
335,222
335,231
335,265
335,340
335,359
335,527
335,739
335,798
335,809
336,46
336,156
336,221
336,566
336,603
336,627
336,628
336,705
337,86
337,388
337,414
337,504
337,793
338,221
338,415
339,92
339,94
339,543
339,558
339,647
339,755
340,222
340,231
340,265
340,335
340,359
340,527
340,739
340,798
340,809
341,58
341,87
341,163
341,168
341,204
341,272
341,379
341,438
341,509
341,554
341,621
341,637
341,709
342,26
342,496
342,670
342,774
342,817
343,181
343,218
343,232
343,446
344,56
344,76
344,89
344,220
344,326
344,492
344,500
344,612
344,643
344,658
345,14
345,141
345,176
345,235
345,249
345,458
345,595
345,645
345,684
345,727
346,255
346,257
346,348
347,25
347,33
347,170
347,660
347,779
348,255
348,257
348,346
348,420
348,558
348,590
348,601
348,695
349,13
349,65
349,160
349,366
350,47
350,443
350,711
350,771
351,27
351,113
351,667
351,752
352,107
352,178
352,184
352,471
352,503
352,541
352,562
352,575
352,578
352,598
352,639
352,725
352,754
352,799
352,808
353,99
353,248
353,475
353,634
354,226
354,229
354,657
354,678
354,749
354,820
355,1
355,9
355,28
355,135
355,146
355,167
355,250
355,295
355,359
355,501
355,530
355,579
355,581
355,608
355,650
355,683
355,694
355,765
355,815
356,121
356,124
356,157
356,330
356,444
356,448
357,88
357,151
357,158
357,291
357,300
357,406
357,463
357,552
357,584
357,700
357,752
358,118
358,208
358,610
358,621
358,624
359,1
359,72
359,108
359,120
359,146
359,167
359,189
359,205
359,222
359,231
359,265
359,286
359,293
359,321
359,335
359,340
359,355
359,399
359,422
359,466
359,527
359,664
359,671
359,739
359,798
359,809
359,835
360,115
360,147
360,376
360,602
360,619
360,756
360,812
361,161
361,366
361,378
361,386
361,627
361,628
361,847
362,155
362,208
362,240
362,581
362,597
362,738
363,10
363,77
363,219
363,266
363,558
364,77
364,90
364,232
364,278
364,412
364,480
364,495
364,497
364,530
364,648
364,668
364,690
364,849
365,478
365,536
365,553
365,650
366,13
366,57
366,65
366,160
366,161
366,190
366,230
366,239
366,349
366,361
366,378
366,386
366,464
366,565
366,627
366,628
366,692
366,715
366,803
366,847
367,145
367,503
367,807
367,848
368,133
368,148
368,262
368,400
368,404
368,483
368,531
368,617
368,658
368,721
368,740
368,787
369,192
369,418
369,505
369,720
369,760
370,238
370,242
370,323
370,398
370,778
370,790
370,837
370,848
371,187
371,766
372,97
372,196
372,228
372,587
372,844
373,23
373,59
373,166
373,214
373,294
373,398
373,436
373,465
373,468
373,473
373,482
373,665
373,729
374,3
374,19
374,34
374,73
374,202
375,115
375,228
375,545
375,631
376,115
376,147
376,360
376,602
376,619
376,756
376,812
377,5
377,16
377,103
377,175
377,279
377,417
377,453
377,454
377,514
377,673
377,761
377,762
377,840
378,361
378,366
378,386
378,627
379,58
379,168
379,204
379,272
379,341
379,621
380,15
380,206
380,331
380,528
381,22
381,50
381,123
381,207
381,219
381,253
381,270
381,456
381,576
381,672
381,693
381,782
381,824
381,850
382,44
382,503
382,562
382,652
382,679
382,710
383,51
383,259
383,288
383,574
383,616
383,732
384,36
384,389
384,395
384,699
384,757
384,814
385,175
385,212
385,262
385,282
386,177
386,361
386,366
386,378
386,411
386,627
386,659
386,834
387,250
387,316
387,719
387,740
387,826
387,828
388,86
388,104
388,256
388,268
388,337
388,414
388,504
388,560
388,774
388,789
388,793
389,36
389,384
389,395
389,699
389,757
389,814
390,131
390,155
391,4
391,302
391,689
392,76
392,669
392,770
392,847
393,36
393,313
393,515
393,604
393,614
394,21
394,110
394,431
394,437
394,460
394,611
394,677
395,36
395,384
395,389
395,699
395,757
395,814
396,470
396,482
396,486
396,524
396,539
397,253
397,317
397,507
397,746
398,77
398,261
398,323
398,370
398,373
398,436
398,452
398,465
398,468
398,473
398,593
398,665
398,729
398,790
398,837
398,854
399,162
399,189
399,205
399,264
399,299
399,315
399,359
399,409
399,602
399,649
399,664
399,794
400,133
400,368
400,487
400,531
400,542
400,595
400,617
400,658
400,740
400,780
400,810
401,7
401,98
401,615
401,655
401,681
402,34
402,250
402,268
402,438
403,532
403,578
403,602
403,646
403,685
403,708
403,714
404,368
404,721
405,117
405,308
405,561
405,571
405,720
405,764
406,88
406,151
406,158
406,291
406,300
406,357
406,463
406,552
406,584
406,700
406,752
407,18
407,83
407,223
407,569
407,816
408,48
408,439
408,445
408,555
408,703
408,722
409,162
409,264
409,399
409,602
410,227
410,838
411,177
411,386
411,659
411,834
412,77
412,90
412,364
412,690
413,91
413,461
413,617
413,727
413,825
414,86
414,337
414,388
414,504
414,793
415,221
415,338
416,164
416,258
416,267
416,327
416,691
416,703
417,5
417,16
417,103
417,175
417,377
417,453
417,514
417,761
417,762
418,192
418,369
418,505
418,720
418,760
419,6
419,25
419,179
419,629
419,676
419,723
419,734
420,348
420,558
420,590
420,601
420,695
421,43
421,186
421,529
421,602
421,643
421,751
421,775
422,120
422,286
422,359
422,466
423,78
423,128
423,144
423,303
423,675
423,759
424,39
424,111
424,472
424,818
425,136
425,229
425,427
425,474
425,502
425,586
426,111
426,130
426,302
426,740
427,66
427,136
427,229
427,425
427,474
427,502
427,572
427,586
427,718
427,792
428,77
428,132
428,494
428,525
428,662
428,681
428,728
428,753
428,791
429,60
429,303
429,332
429,590
429,661
430,93
430,301
430,330
430,592
430,750
431,37
431,110
431,236
431,284
431,394
431,437
431,513
431,538
431,574
431,677
431,680
432,12
432,594
432,595
432,743
433,116
433,592
433,776
433,794
433,802
433,841
434,129
434,578
434,602
434,638
434,644
435,138
435,279
435,573
435,589
436,373
436,398
436,465
436,468
436,473
436,665
436,729
437,2
437,21
437,29
437,110
437,143
437,203
437,394
437,431
437,460
437,477
437,493
437,522
437,591
437,611
437,677
437,696
438,34
438,87
438,163
438,250
438,268
438,341
438,402
438,509
438,554
438,637
438,709
439,48
439,408
439,445
439,555
439,703
439,722
440,540
440,602
440,643
440,833
441,30
441,93
441,489
441,548
441,733
441,845
442,112
442,262
442,273
442,544
442,584
442,827
443,47
443,350
443,711
443,771
444,121
444,124
444,157
444,330
444,356
444,448
445,48
445,241
445,408
445,439
445,555
445,703
445,722
445,766
445,773
446,181
446,218
446,232
446,328
446,343
446,781
446,822
447,137
447,602
448,121
448,124
448,157
448,330
448,356
448,444
449,74
449,306
449,615
449,766
450,139
450,224
450,488
450,626
450,805
450,821
451,182
451,245
451,572
451,758
452,77
452,261
452,398
452,593
452,854
453,5
453,16
453,103
453,175
453,377
453,417
453,514
453,761
453,762
454,279
454,377
454,673
454,840
455,534
455,721
456,219
456,270
456,381
456,576
456,672
456,693
456,782
456,824
457,262
457,517
457,816
457,846
458,141
458,176
458,249
458,345
459,180
459,197
459,331
459,853
460,21
460,140
460,394
460,437
460,568
460,611
461,91
461,413
461,617
461,727
461,825
462,91
462,236
462,245
462,298
462,467
462,697
463,88
463,151
463,158
463,291
463,300
463,357
463,406
463,552
463,584
463,700
463,752
464,57
464,160
464,190
464,230
464,239
464,366
464,565
464,692
464,715
464,803
465,373
465,398
465,436
465,468
465,473
465,665
465,729
466,120
466,286
466,359
466,422
467,91
467,236
467,245
467,298
467,462
467,697
468,373
468,398
468,436
468,465
468,473
468,665
468,729
469,62
469,69
469,296
469,666
469,794
470,396
470,482
470,486
470,524
470,539
471,38
471,105
471,107
471,246
471,280
471,352
471,503
471,554
471,562
471,575
471,578
471,584
471,740
471,754
471,772
471,808
472,39
472,111
472,424
472,818
473,373
473,398
473,436
473,465
473,468
473,665
473,729
474,136
474,229
474,425
474,427
474,502
474,586
474,792
475,45
475,99
475,119
475,248
475,314
475,353
475,585
475,607
475,634
475,706
475,713
475,765
476,242
476,783
477,437
477,493
477,591
477,696
478,365
478,536
478,553
478,650
479,73
479,84
479,580
479,851
480,232
480,364
480,497
480,668
480,849
481,142
481,172
481,533
481,702
481,704
481,823
482,23
482,59
482,166
482,214
482,294
482,373
482,396
482,470
482,486
482,524
482,539
483,148
483,262
483,368
483,787
484,32
484,52
484,712
484,741
484,742
484,788
484,842
485,114
485,157
485,191
485,260
485,546
485,583
485,606
485,642
486,396
486,470
486,482
486,524
486,539
487,400
487,542
487,595
487,617
487,780
487,810
488,139
488,224
488,450
488,626
488,805
489,30
489,93
489,441
489,548
489,733
489,845
490,31
490,70
490,130
490,197
490,215
490,275
490,491
490,549
490,600
490,623
491,130
491,197
491,490
491,623
